Team,Section,Player,POS,Opp,PRK,AVG,PROJ
Modest Ox,Starter,Josh Allen,QB,TB,3,22.7,20.7
Modest Ox,Starter,De'Von Achane,RB,WSH,3,21.4,27.9
Modest Ox,Starter,Rachaad White,RB,@BUF,25,10.6,14.2
Modest Ox,Starter,Wan'Dale Robinson,WR,GB,17,12.5,14.5
Modest Ox,Starter,Tee Higgins,WR,@PIT,24,13.1,13.6
Modest Ox,Starter,Theo Johnson,TE,GB,12,9.4,10.6
Modest Ox,Starter,Aaron Jones Sr.,RB,CHI,46,10.1,14.1
Modest Ox,Starter,Steelers D/ST,D/ST,CIN,20,5.4,6.2
Modest Ox,Starter,Matt Prater,K,TB,18,7.4,8.3
Modest Ox,Bench,Marvin Harrison Jr.,WR,SF,27,12.5,0.0
Modest Ox,Bench,Kenneth Gainwell,RB,CIN,34,8.8,9.6
Modest Ox,Bench,Sam LaPorta,TE,@PHI,7,11.9,11.3
Modest Ox,Bench,Jared Goff,QB,@PHI,12,18.0,16.2
Modest Ox,Bench,Oronde Gadsden II,TE,@JAX,16,11.5,0.0
Modest Ox,Bench,Woody Marks,RB,@TEN,29,9.7,14.0
Modest Ox,Bench,Devin Singletary,RB,GB,67,3.2,9.9

Kevin's Deluxe Team,Starter,Lamar Jackson,QB,@CLE,18,22.6,20.4
Kevin's Deluxe Team,Starter,Jahmyr Gibbs,RB,@PHI,4,20.4,17.4
Kevin's Deluxe Team,Starter,Quinshon Judkins,RB,BAL,21,13.4,14.6
Kevin's Deluxe Team,Starter,Emeka Egbuka,WR,@BUF,10,16.3,16.6
Kevin's Deluxe Team,Starter,Quentin Johnston,WR,@JAX,19,13.5,13.3
Kevin's Deluxe Team,Starter,David Njoku,TE,BAL,20,9.4,8.4
Kevin's Deluxe Team,Starter,David Montgomery,RB,@PHI,22,11.7,10.3
Kevin's Deluxe Team,Starter,Seahawks D/ST,D/ST,@LAR,1,11.2,3.9
Kevin's Deluxe Team,Starter,Chase McLaughlin,K,@BUF,7,9.8,8.2
Kevin's Deluxe Team,Bench,Xavier Worthy,WR,@DEN,63,9.0,11.4
Kevin's Deluxe Team,Bench,DJ Moore,WR,@MIN,39,10.0,10.2
Kevin's Deluxe Team,Bench,Justin Herbert,QB,@JAX,4,20.3,19.6
Kevin's Deluxe Team,Bench,Zach Ertz,TE,@MIA,10,9.6,10.0
Kevin's Deluxe Team,Bench,Falcons D/ST,D/ST,CAR,10,7.0,6.0
Kevin's Deluxe Team,Bench,Darius Slayton,WR,GB,70,6.9,10.8
Kevin's Deluxe Team,Bench,Bam Knight,RB,SF,52,6.0,11.2
Kevin's Deluxe Team,IR,Omarion Hampton,RB,@JAX,,0.0,0.0
